conv_id,line_id,content
0,0,So please finish
0,1,Percival for next time.
0,2,I know many of you had
0,3,this as undergraduates
0,4,but it won't hurt to brush up.
0,5,Thank you Steven.
0,6,I also put an advanced
0,7,Fourier system
0,8,on the main hallway chalkboard.
0,9,I'm hoping that one of you
0,10,might prove it by the
0,11,end of the semester.
0,12,Now the person to do so will
0,13,not only be in my good graces...
0,14,but also go on to
0,15,fame and fortune...
0,16,by having their accomplishment
0,17,recorded and their name printed...
0,18,in the auspicious M.I.T. Tech.
0,19,Former winners include
0,20,Nobel laureates
0,21,Field's medal winners...
0,22,renowned astrophysicists
0,23,and lowly M.I.T. professors.
0,24,Well that's all.
0,25,If you have any questions...
0,26,I'm sure that Tom
0,27,has the answers.
1,0,Hi Will.
1,1,Kirsten how you doing?
1,2,I'm all right. How are you?
1,3,Good.
1,4,I didn't get on
1,5,Cathy last night.
1,6,No?
1,7,No.
1,8,Why not?
1,9,I don't know.
1,10,Cathy!
1,11,What?
1,12,Why didn't you give me none of that
1,13,nasty little hoochie-woochie...
1,14,you usually throw at me?
1,15,Oh fuck you...
1,16,and your Irish curse Chuckie.
1,17,Like I'd waste my
1,18,energy spreading my legs
1,19,for that Tootsie Roll dick?
1,20,Go home and give it a tug yourself.
1,21,Tootsie Roll!
1,22,T-Toots!
1,23,She's missing a tooth Will.
1,24,She's got skin problems.
1,25,I don't...
1,26,Plus it's like 5-to-2
1,27,Morgan ends up marrying her
1,28,you know what I mean?
1,29,There's only so many times
1,30,you can bang your
1,31,friend's future wife.
1,32,It's wrong.
1,33,Where you going?
1,34,I'm gonna take off.
1,35,Fuck you you're taking off.
1,36,It's like what 10:00?
1,37,No I'm tired.
1,38,Irish curse?
1,39,She don't know.
1,40,There ain't no Irish curse.
2,0,Out! Stop pressuring me back.
2,1,Stop crowding the plate!
2,2,Which one will it be?
2,3,You're gonna get
2,4,charged you know that?
2,5,You think I'm afraid
2,6,of you you big fuck?
2,7,You're crowding
2,8,the fuckin' plate.
2,9,Hey uh Casey's bouncing up
2,10,a bar at Harvard next week.
2,11,We should go up there.
2,12,What are we gonna do up there?
2,13,I don't know.
2,14,We'll fuck up some smart kids.
2,15,Probably fit right in.
2,16,Ow! Fuckin' punk.
2,17,Oh what's up? You still tough?
2,18,Come on!
2,19,Come on. Come on. That's it.
3,0,Professor Lambeau?
3,1,Yes?
3,2,I'm in your applied
3,3,theories class.
3,4,We're all up at the math
3,5,and science building.
3,6,Come here.
3,7,It's Saturday.
3,8,Unless you wanna have a
3,9,drink with me tonight.
3,10,Maybe.
3,11,We just couldn't wait
3,12,until Monday to find out.
3,13,Find out what?
3,14,Who proved the theorem.
4,0,This is correct.
4,1,Who did this?
4,2,Jack?
4,3,It wasn't me.
4,4,Nemesh?
4,5,N-No way.
4,6,Come on Joey now!
4,7,Billy McNamara's up.
4,8,Come on kid!
4,9,Joey dig it out! Dig it out!
4,10,Son of a bitch!
4,11,Bring it down Mac!
4,12,That's how to do it! Attaboy!
4,13,Take two Mac.
4,14,Hey Morgan
4,15,who's the girl with the striped pants?
4,16,She's got a nice ass.
4,17,Yeah that's a real nice ass.
4,18,Who's the guy she's with?
4,19,That fuckin' guinea. I hate that
4,20,little bitch. Will knows him.
4,21,Yeah I do.
4,22,Yeah fuckin'
4,23,Carmine Scarpaglia.
4,24,That guy used to beat shit
4,25,out of me in kindergarten.
4,26,That guy?
4,27,Yeah.
4,28,Fuck this. Let's get some food.
4,29,Oh what Morgan you're
4,30,not gonna go talk to her?
4,31,Fuck her.
4,32,I could go for a Whopper.
4,33,Let's go to Kelly's.
4,34,Morgan I'm not goin' to Kelly's
4,35,just 'cause you like
4,36,the take-out girl.
4,37,It's 15 minutes out of our way.
4,38,What the fuck we gonna do?
4,39,We can't spare 15 minutes.
4,40,Double burger.
4,41,Double burger.
4,42,Chuck I had a double burger.
4,43,Would you shut the fuck up!
4,44,I know what you ordered.
4,45,I was there.
4,46,So give me my fuckin' sandwich.
4,47,What do you mean your sandwich?
4,48,I bought it.
4,49,Morgan how much
4,50,money you got on you?
4,51,I said I'd get change
4,52,when I get the snow cone.
4,53,I said that when we pulled up.
4,54,Give me my sandwich
4,55,and stop bein' a prick.
4,56,All right well give
4,57,me your fuckin' 16 cents
4,58,that you got on you now.
4,59,We'll put your fuckin'
4,60,sandwich on lay-away.
4,61,Here we go.
4,62,Keep it right up here for ya.
4,63,We'll put you on a program.
4,64,Every day you come in
4,65,here with your six cents.
4,66,At the end of the week
4,67,you get your sandwich.
4,68,Are you gonna be an ass hole?
4,69,What am I fuckin'
4,70,sandwich welfare?
4,71,I think you should establish
4,72,a good line of credit.
4,73,Like how you bought your
4,74,couch-payment plans.
4,75,Remember how your
4,76,mother brought in
4,77,ten dollars every
4,78,day for a year.
4,79,She finally got her couch
4,80,Rent-A-Centre style.
4,81,Can I have my food please?
4,82,Here's your fuckin'
4,83,double burger.
4,84,Whoa!
4,85,Hey hold up Chuck.
4,86,Slow it down.
4,87,Who do we got?
4,88,I don't know yet.
4,89,Hey douche bag!
4,90,Yeah you you skank face!
4,91,Shut the fuck up
4,92,Get outta here.
4,93,What are you worried about?
4,94,Why don't you lick
4,95,my love stick?
4,96,We seen the guy 15 minutes ago.
4,97,We should've fight him then.
4,98,We're eatin' our snacks now.
4,99,Shut up Morgan you're goin'.
4,100,I'm not goin'.
4,101,So don't go.
4,102,I'm not goin'.
4,103,Fuckin' go Morgan.
4,104,Let me tell you somethin'.
4,105,If you're not out there
4,106,in two fuckin' seconds
4,107,when I'm done with
4,108,them you're next.
4,109,Carmine it's me. It's me Will.
4,110,Remember we went to
4,111,kindergarten together.
5,0,Fuckin' let's go man.
5,1,Step on his fuckin' head.
5,2,Get his ass on the ground.
5,3,Stop that mother fucker.
6,0,Mother fucker die!
6,1,Carter!
6,2,Come on!
7,0,Will! Will come on!
7,1,Will come on. Let's go.
7,2,Let's go.
7,3,Easy brother easy.
7,4,Hey fellas thanks for comin' out.
7,5,Come here!
7,6,Whoa! Whoa!
8,0,Ah. Fuck.
9,0,Is it just my imagination
9,1,or has my class
9,2,grown considerably?
9,3,Well by no stretch
9,4,of my imagination...
9,5,do I believe you've all come
9,6,here to hear me lecture.
9,7,Rather to ascertain
9,8,the identity
9,9,of the mystery math magician.
9,10,So without further
9,11,adieu come forward
9,12,silent rogue and
9,13,receive thy prize.
10,0,Well I'm sorry to disappoint
10,1,my spectators but...
10,2,it seems there will be
10,3,no unmasking here today.
10,4,However uh my colleagues
10,5,and I have conferred
10,6,and there is a problem
10,7,on the board right now...
10,8,that took us more than
10,9,two years to prove.
10,10,So let this be said:
10,11,The gauntlet has
10,12,been thrown down
10,13,but the faculty have answered
10,14,and answered with vigour.
11,0,Hey when's the arraignment?
11,1,Next week.
12,0,Sorry.
12,1,What are you doing?
12,2,Sorry.
12,3,That's people's work.
12,4,You can't graffiti here.
12,5,Don't you walk away from me!
12,6,Hey fuck you!
12,7,Oh you're a clever one.
12,8,What's your name?
13,0,Oh my God.
14,0,Looks right.
15,0,Will how retarded do you gotta
15,1,be to get fired from that job?
15,2,I mean how hard is it to push
15,3,a motherfuckin' broom around?
15,4,Mitch you got fired from
15,5,pushin' a fuckin' broom.
15,6,I got fired 'cause
15,7,management was restructuring.
15,8,Yeah restructuring
15,9,the amount of retards
15,10,they had workin' for 'em.
15,11,Shut up. You get canned
15,12,more than tuna bitch.
15,13,At least I got a motherfuckin'
15,14,job right now don't I?
15,15,Yeah.
15,16,Why'd you get fired Will?
15,17,Come on.
15,18,Management was restructuring.
15,19,My uncle could probably
15,20,get you on a demo team.
15,21,Can he do that?
15,22,You kiddin' me!
15,23,I asked you yesterday
15,24,if I could get a job.
15,25,And I told you 'no' yesterday.
15,26,What's up Casey?
15,27,What's up Case?
15,28,What's up Big Case?
15,29,Let's sit over here.
15,30,All right. Let's go.
15,31,Oh this is...
15,32,this is a Harvard bar huh?
15,33,I thought there'd be like
15,34,equations and shit on the wall.
15,35,I will take a pitcher of the
15,36,finest lager in the house.
16,0,Timeout.
16,1,I'm gonna have to
16,2,bust a little move
16,3,on them Harvard hotties
16,4,down there at the bar.
16,5,Work some magic.
16,6,Get some potion for us.
17,0,Oh hello.
17,1,Oh hello.
17,2,Hi. How are ya?
17,3,Fine.
17,4,So do you ladies uh...
17,5,Come here often?
17,6,Do I come here?
17,7,I come here a bit.
17,8,I'm here you know
17,9,from time to time.
17,10,Do you go to school here?
17,11,Yep.
17,12,Yeah.
17,13,That's it. I think I
17,14,had a class with you.
17,15,Oh yeah. What class?
17,16,History.
17,17,Maybe.
17,18,Yes I think that's what it was.
17,19,You don't necessarily...
17,20,may not remember me. You
17,21,know I like it here.
17,22,It doesn't mean
17,23,'cause I go here
17,24,I'm a genius. I am very smart.
17,25,Hey how's it goin'? How are ya?
17,26,Good. How ya doin'?
17,27,What class did you say that was?
17,28,History.
17,29,Yeah.
17,30,Just history?
17,31,It must have been a
17,32,survey course then.
17,33,Yeah it was. It was surveys.
17,34,Right.
17,35,You should check it out.
17,36,It's a good course.
17,37,It'd be a good class.
17,38,How'd you like that course?
17,39,You know frankly
17,40,I found that class you
17,41,know rather elementary.
17,42,Elementary.
17,43,You know I don't doubt that it was.
17,44,Yeah.
17,45,I uh
17,46,I remember that class.
17,47,It was um...
17,48,it was just between
17,49,recess and lunch.
17,50,Clark why don't you go away?
17,51,Why don't you relax?
17,52,Why don't you go away?
17,53,I'm just havin' fun with my new friend.
17,54,That's all.
17,55,Are we gonna have a problem?
17,56,No no no no. There's
17,57,no problem here.
17,58,I was just hoping you
17,59,might give me some insight
17,60,into the evolution of the market
17,61,economy in the southern colonies.
17,62,My contention is that prior
17,63,to the Revolutionary War
17,64,the economic
17,65,modalities especially
17,66,in the southern colonies...
17,67,could most aptly be
17,68,characterized as...
17,69,agrarian pre-capitalist.
17,70,Let me tell you somethin'.
17,71,Of course that's
17,72,your contention.
17,73,You're a first-year
17,74,grad student.
17,75,You just got finished readin'
17,76,some Marxian historian
17,77,Pete Garrison probably...
17,78,You're gonna be convinced
17,79,of that till next month
17,80,when you get to James Lemon.
17,81,Then you're gonna
17,82,be talkin' about
17,83,how the economies of
17,84,Virginia and Pennsylvania...
17,85,were entrepreneurial and
17,86,capitalist way back in 1740.
17,87,That's gonna last
17,88,until next year.
17,89,You're gonna be in here
17,90,regurgitatin' Gordon Wood
17,91,talkin' about you know
17,92,the pre-revolutionary utopia...
17,93,and the capital-forming effects
17,94,of military mobilization.
17,95,Well as a matter
17,96,of fact I won't
17,97,because Wood drastically
17,98,underestimates the impact of...
17,99,Wood drastically underestimates the
17,100,impact of social distinctions...
17,101,predicated upon wealth
17,102,especially inherited wealth.
17,103,You got that from Vickers' Work
17,104,in Essex County. Page 98 right?
17,105,I read that too.
17,106,Were you gonna plagiarize
17,107,the whole thing for us?
17,108,Do you have any thoughts
17,109,of your own on this matter?
17,110,Or is that your thing?
17,111,You come into a bar.
17,112,You read some obscure passage.
17,113,Then pretend... pawn
17,114,it off as your own.
17,115,As your own idea just
17,116,to impress some girls?
17,117,Embarrass my friend?
17,118,See the sad thing about a
17,119,guy like you is in 50 years
17,120,you're gonna start doin'
17,121,some thinkin' on your own.
17,122,You're gonna come
17,123,up with the fact
17,124,that there are two
17,125,certainties in life.
17,126,One: Don't do that.
17,127,And two: You dropped 150 grand
17,128,on a fuckin' education...
17,129,you could've got for $1.50 in late
17,130,charges at the public library.
17,131,Yeah but I will have a degree
17,132,and you'll be
17,133,servin' my kids fries
17,134,at a drive through on
17,135,our way to a skiing trip.
17,136,Maybe
17,137,but at least I
17,138,won't be unoriginal.
17,139,If you have a problem with that
17,140,we could step outside.
17,141,We could figure it out.
17,142,No man there's no problem.
17,143,It's cool.
17,144,It's cool?
17,145,Yeah.
17,146,Cool.
17,147,Damn right it's cool.
17,148,How do you like me now?
17,149,My boy's wicked smart.
17,150,I just spent three minutes
17,151,in this fuckin' place
17,152,and run into a Barney huh?
17,153,There it is.
17,154,Nice to meet you.
17,155,They were fine man.
17,156,I was gonna close
17,157,the deal but then...
17,158,Chuck... Billy uh...
17,159,insulted one of 'em...
17,160,The heavyset girl said I
17,161,had a receding hairline
17,162,and I was a few
17,163,pounds overweight.
17,164,And I was like
17,165,'Go fuck yourself'.
17,166,I swallowed a bug.
17,167,Hi.
17,168,You're an idiot.
17,169,What?
17,170,You're an idiot.
17,171,I've been sitting over
17,172,there for 45 minutes...
17,173,waiting for you to
17,174,come and talk to me.
17,175,But I'm tired now
17,176,and I have to go home.
17,177,And... I couldn't sit there
17,178,anymore waiting for you.
17,179,I'm Will.
17,180,Skylar.
17,181,Skylar.
17,182,Oh and by the way
17,183,that guy over there
17,184,Michael Bolton clone...
17,185,He wasn't sitting
17,186,with us so to speak.
17,187,I know. I kinda got
17,188,that impression.
17,189,Good. Okay.
17,190,Well I've got to go.
17,191,Gotta get up early and
17,192,waste some more money
17,193,on my overpriced education.
17,194,No I didn't mean you.
17,195,That's all right.
17,196,There's my number.
17,197,Maybe we can go out
17,198,for coffee sometime.
17,199,All right yeah.
17,200,Maybe we can just get together
17,201,and eat a bunch of caramels.
17,202,What do you mean?
17,203,When you think about it it's
17,204,as arbitrary as drinkin' coffee.
17,205,Oh. Yeah. Okay.
17,206,Uh right then.
17,207,Oh come on.
17,208,You're kidding.
17,209,Yo!
17,210,Fuck you bitch!
17,211,Fuck you.
17,212,There goes them fuckin' barneys
17,213,right now with his skiin' trip.
17,214,Hold on.
17,215,We should've beat
17,216,that old bitch's ass.
18,0,Do you like apples?
18,1,Yeah.
18,2,Yeah?
18,3,Well I got her number!
18,4,How do you like them apples?
19,0,Come.
20,0,Excuse me?
20,1,Is this the Buildings
20,2,and Grounds office?
20,3,Yeah. What can I do for you?
20,4,I just need the name of
20,5,a student who works here.
20,6,No students work for me.
20,7,Could you please check?
20,8,I have this guy who
20,9,works in my building.
20,10,He's about this high.
20,11,Which one is your building?
20,12,Two.
20,13,Two. Building two.
21,0,Look if anything was stolen
21,1,I should know about it.
21,2,No no no. It's nothing like that.
21,3,I just need his name.
21,4,I can't give you his name
21,5,unless you've a complaint.
21,6,This is Professor Lambeau.
21,7,And this is Professor Hayes.
21,8,Tom please.
21,9,This is important.
21,10,Please.
21,11,Will didn't show for work today.
21,12,Got this job through his P.O.
21,13,You can call him.
21,14,P.O.?
21,15,Yeah Parole Officer.
21,16,Thank you.
21,17,Ass hole.
21,18,There is a lengthy
21,19,legal precedent
21,20,Your Honour going back to 1789
21,21,whereby a defendant
21,22,can claim self-defence
21,23,against an agent of
21,24,the government...
21,25,if that act is deemed a
21,26,defence against tyranny
21,27,a defence of liberty.
21,28,Your Honour
21,29,Henry Ward Beecher
21,30,in Proverbs from Plymouth
21,31,Pulpit 1887 said
21,32,1887 this is the 20th century.
21,33,Excuse me.
21,34,He's gonna make a mockery
21,35,of the court room.
21,36,I am afforded the right to
21,37,speak in my own defence sir
21,38,by the Constitution
21,39,of the United States.
21,40,Don't tell me about the
21,41,Constitution of the United States.
21,42,This guarantees my liberty.
21,43,'Liberty' in case you've forgotten
21,44,is a soul's right to breathe.
21,45,When it cannot take a long
21,46,breath laws are girded too tight.
21,47,Without liberty man is a syncope.
21,48,Man is a what?
21,49,Ibid. Your Honour.
21,50,Son my turn.
21,51,I've been sitting here
21,52,for ten minutes now
21,53,lookin' over this
21,54,rap sheet of yours.
21,55,I just can't believe it.
21,56,June '93 assault.
21,57,September '93 assault.
21,58,Grand theft auto
21,59,February of '94.
21,60,Where apparently
21,61,you defended yourself
21,62,and had the case
21,63,thrown out by citing...
21,64,'free property rights of
21,65,horse and carriage' from 1798.
21,66,Joke. January '95
21,67,impersonating an officer.
21,68,Mayhem theft resisting.
21,69,All overturned.
21,70,I'm also aware that you've been
21,71,through several foster homes.
21,72,The state removed you from three
21,73,because of serious
21,74,physical abuse.
21,75,You know another
21,76,judge might care
21,77,but you hit a cop.
21,78,You're going in.
21,79,Motion to dismiss is denied.
21,80,$50000 bail.
21,81,Thank you.
21,82,Rise.
21,83,Hello?
21,84,Uh Skylar?
21,85,Yep.
21,86,Hey uh it's Will.
21,87,Who?
21,88,It's Will.
21,89,You know the really...
21,90,funny good-looking guy you
21,91,met at the bar the other night.
21,92,I don't recall meeting anyone
21,93,who matches that description.
21,94,I think I'd remember.
21,95,Oh all right you got me.
21,96,It's the ugly obnoxious
21,97,toothless loser...
21,98,who got hammered and wouldn't
21,99,leave you alone all night.
21,100,Oh Will! I remember.
21,101,How are you?
21,102,I was wondering
21,103,if you'd call me.
21,104,Yeah look I was wondering...
21,105,Yo what's up baby?
21,106,Hold on one second.
21,107,What you doing?
21,108,Hey.
21,109,What's up baby?
21,110,Want some of my ass?
21,111,Herve I remember you from juvi.
21,112,How you doing?
21,113,What you doing?
21,114,Oh yeah sorry about that.
21,115,I was wonderin' maybe we could
21,116,get together sometime this week.
21,117,Sit out at a cafe. Maybe
21,118,have some caramels.
21,119,Oh that sounds wonderful.
21,120,Yeah?
21,121,Yeah sure. Where are you?
21,122,Uh well actually this is just
21,123,a shot in the dark but uh
21,124,there's no chance that
21,125,you're pre-law is there?
21,126,Have a seat.
21,127,Thank you.
21,128,Nice talking to ya.
21,129,What the fuck do you want?
21,130,I'm Gerald Lambeau.
21,131,Professor you told
21,132,to fuck himself.
21,133,Well what the fuck do you want?
21,134,I've spoken to the judge
21,135,and he's agreed to release you
21,136,under my supervision.
21,137,Really?
21,138,Yeah.
22,0,Under two conditions.
22,1,What are those?
22,2,First condition is that you
22,3,meet with me every week.
22,4,What for?
22,5,Go over the proof
22,6,you're working on
22,7,get into some...
22,8,more advanced...
22,9,combinatorial mathematics
22,10,finite math.
22,11,Sounds like a real hoot.
22,12,And the second
22,13,condition is that...
22,14,that you see a therapist.
22,15,I'm responsible to submit
22,16,reports on those meetings.
22,17,If you fail...
22,18,to meet with any of
22,19,those conditions
22,20,you will have to serve time.
22,21,All right. I'll do the math
22,22,but I'm not gonna meet
22,23,with any fuckin' therapist.
22,24,It's better than spending
22,25,that time in jail isn't it?
23,0,I read your book and 'Mike'
23,1,was havin' the same problems...
23,2,that 'Chad'
23,3,the stockbroker was havin'.
23,4,Absolutely right.
23,5,Right on the button.
23,6,Good for you Will. Very nice.
23,7,Thank you.
23,8,Will
23,9,the pressures and
23,10,I'm not judging them.
23,11,I'm not labelling them
23,12,but they are destroying
23,13,your potential.
23,14,No more shenanigans.
23,15,No more tomfoolery.
23,16,No more ballyhoo.
23,17,You're right.
23,18,God I know.
23,19,You're not gonna get off that easily.
23,20,Come on Will
23,21,a bit more.
23,22,Well I mean I do
23,23,do things you know?
23,24,What... what kind of things?
23,25,I do things that you know
23,26,I mean I hide from people.
23,27,You hide do you?
23,28,No no. I mean I like. I go places.
23,29,I interact you know.
23,30,Really? What sort of places?
23,31,Just certain clubs.
23,32,More. That's nice. Yes.
23,33,What sort of clubs?
23,34,Like uh like Fantasy.
23,35,Fantasy. That's
23,36,nice a bit more.
23,37,It's something like
23,38,when you get in there
23,39,the music like owns you.
23,40,It's like that house music.
23,41,It's like...
23,42,You know you start dancin'.
23,43,Boom boom boom. Yeah.
23,44,It's just...
23,45,Yes.
23,46,Do you find it hard to hide
23,47,the fact that you're gay?
23,48,What are you talking about?
23,49,What?
23,50,Look buddy two seconds ago
23,51,you were ready to
23,52,give me a jump.
23,53,A jump?
23,54,Are you...
23,55,I'm terribly sorry
23,56,to disappoint you.
23,57,Hey I don't have
23,58,a problem with it.
23,59,I don't care if you
23,60,putt from the rough.
23,61,What are you...
23,62,putting from the rough?
23,63,What on earth are
23,64,you talking about?
23,65,A difficult theorem
23,66,could be like a symphony.
23,67,It's very erotic.
23,68,You go somewhere else.
23,69,I can't handle this.
23,70,Wow.
23,71,Thank you Henry.
23,72,Ah Henry.
23,73,Hi Gerry.
23,74,You know something?
23,75,I can't do this pro
23,76,bono work anymore.
23,77,It's just not... it's not worth it.
23,78,What happened?
23,79,Well I'm going on national
23,80,television next week.
23,81,I mean I haven't
23,82,got time to tell you
23,83,much less talk to that
23,84,raving looney in there.
23,85,An absolute lunatic he is.
23,86,Henry.
23,87,Okay you are in your bed Will.
23,88,Now
23,89,how old are you?
23,90,Seven.
23,91,What do you see?
23,92,Some things in my room.
23,93,What is it?
23,94,It's like a... it's a figure.
23,95,It's hoverin' over me.
23,96,You are in a safe place Will.
23,97,It's t...
23,98,it's touchin' me.
23,99,Where is it touching you?
23,100,It's touching me down there
23,101,and I'm nervous.
23,102,You don't have to
23,103,be nervous Will.
23,104,We...
23,105,start dancin' and dancin'.
23,106,It's just beautiful
23,107,'cause we...
23,108,can make... a lot of love
23,109,before the sun goes down.
24,0,I'm sorry Rich.
24,1,I have better things to do with my time.
24,2,Hey. Afternoon delight.
24,3,Come on! One dance!
24,4,You really hypnotized
24,5,me you know?
24,6,For God's sake Will.
24,7,What? Oh come on.
24,8,He left. You can't
24,9,pin that on me.
24,10,I told you to cooperate
24,11,with these people.
24,12,Look... into my eyes.
24,13,Get out Will.
24,14,I don't need therapy.
24,15,That's enough. Get out!
24,16,I called Mel Weintraub
24,17,this morning to see...
24,18,Oh what's the use?
24,19,What do you want to do?
25,0,Well there's someone.
25,1,Who is he?
25,2,He used to be my uh...
25,3,my room-mate in college.
25,4,Trust.
25,5,Very important...
25,6,in a relationship. It's also very
25,7,important in a clinical situation.
25,8,Why is trust the most
25,9,important thing...
25,10,in making a breakthrough
25,11,with a client?
25,12,Maureen stop the oral fixation
25,13,for a moment and join us.
25,14,Vinnie.
25,15,Um...
25,16,Because uh...
25,17,Trust is uh...
25,18,trust is life.
25,19,Wow.
25,20,That's very deep.
25,21,Thank you Vinnie.
25,22,Next time get the
25,23,notes from your brother.
25,24,If a patient doesn't feel
25,25,safe enough trust you
25,26,then they won't be
25,27,honest with you.
25,28,Then there's really no point
25,29,for them being in therapy.
25,30,I mean hey if they
25,31,don't trust you
25,32,you're never gonna get
25,33,them to sleep with you.
25,34,That should be the goal
25,35,of any good therapist.
25,36,Nail 'em while
25,37,they're vulnerable.
25,38,That's my motto.
25,39,Oh good everyone's back.
25,40,Welcome back everybody.
25,41,Hello Sean.
25,42,Hey Gerry.
25,43,Um
25,44,ladies and gentlemen
25,45,we are in the
25,46,presence of greatness.
25,47,Professor Gerald Lambeau
25,48,Field's medal winner for
25,49,combinatorial mathematics.
25,50,Hello.
25,51,Anyone know what the
25,52,Field's medal is?
25,53,It's a really big deal.
25,54,It's like the Nobel
25,55,prize for math.
25,56,Except they only give it
25,57,out once every four years.
25,58,It's a great thing.
25,59,It's an amazing honour.
25,60,Okay everybody
25,61,that's it for today.
25,62,Thanks. We'll see you Monday.
25,63,We'll be talking about Freud.
25,64,Why he did enough cocaine
25,65,to kill a small horse.
25,66,Thank you.
25,67,How are you?
25,68,It's good to see you.
